mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
1000000000000000392445,1168010600109160062,서울특별시 강남구 대치동 916-62번지,서울특별시 강남구 삼성로69길 43-4 (대치동),지상,6,6층,64.94,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100296322,1168010100107790002,서울특별시 강남구 역삼동 779-2번지,서울특별시 강남구 언주로69길 5 (역삼동),지상,2,2층,264.37,04402,사무소,사무소,근린생활2,철근콘크리트구조
10241100296322,1168010100107790002,서울특별시 강남구 역삼동 779-2번지,서울특별시 강남구 언주로69길 5 (역삼동),지상,3,3층,264.37,04402,사무소,사무소,근린생활2,철근콘크리트구조
10241100296322,1168010100107790002,서울특별시 강남구 역삼동 779-2번지,서울특별시 강남구 언주로69길 5 (역삼동),지상,1,1층,61.86,03001,소매점,소매점,근린생활1,철근콘크리트구조
10241100311763,1168010600109010072,서울특별시 강남구 대치동 901-72번지,서울특별시 강남구 삼성로75길 26-8 (대치동),지상,1,1층,108.68,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
1000000000000002984537,1168010300111790005,서울특별시 강남구 개포동 1179-5번지,서울특별시 강남구 논현로4길 51 (개포동),지상,1,1층,66.5,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100268154,1168010100106710006,서울특별시 강남구 역삼동 671-6번지,서울특별시 강남구 논현로94길 29-11 (역삼동),지상,1,1층,13.082,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철근콘크리트구조
10241100294783,1168010800101300009,서울특별시 강남구 논현동 130-9번지,서울특별시 강남구 논현로 661 (논현동),지상,1,1층,570.15,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10241100294783,1168010800101300009,서울특별시 강남구 논현동 130-9번지,서울특별시 강남구 논현로 661 (논현동),지하,2,지2층,408.85,03001,소매점,"제1,2종근린생활시설(소매점,휴게음식점)",근린생활1,철근콘크리트구조
10241100294783,1168010800101300009,서울특별시 강남구 논현동 130-9번지,서울특별시 강남구 논현로 661 (논현동),지하,1,지1층,590.44,04999,기타제2종근린생활시설,"제1종근린생활시설,제2종근린생활시설",근린생활2,철근콘크리트구조
10241100269712,1168010400100380000,서울특별시 강남구 청담동 38번지,서울특별시 강남구 선릉로138길 22 (청담동),지상,2,2층,189.04,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100269712,1168010400100380000,서울특별시 강남구 청담동 38번지,서울특별시 강남구 선릉로138길 22 (청담동),지하,1,지1층,253.32,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10241100278763,1168010700106570040,서울특별시 강남구 신사동 657-40번지,서울특별시 강남구 선릉로157길 13-5 (신사동),지상,1,1층,40.01,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지하,1,지하1층,50.74,03999,기타제1종근린생활시설,제1종근린생활시설,근린생활1,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지하,1,지하1층,12.61,03999,기타제1종근린생활시설,제1종근린생활시설,근린생활1,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지상,1,1층,73.36,04499,기타사무소,제2종근린생활시설(기타사무소),근린생활2,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지상,2,2층,101.3,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지상,3,3층,113.09,04499,기타사무소,제2종근린생활시설(기타사무소),근린생활2,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지상,4,4층,64.09,04499,기타사무소,제2종근린생활시설(기타사무소),근린생활2,철근콘크리트구조
1024121876,1168011800109100000,서울특별시 강남구 도곡동 910번지,서울특별시 강남구 남부순환로 2651 (도곡동),지상,2,2층,75.6,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철근콘크리트구조
