mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
102519040,1171010400100940024,서울특별시 송파구 송파동 94-24번지,서울특별시 송파구 백제고분로42길 40 (송파동),지하,1,지1,139.52,03001,소매점,점포,근린생활1,철근콘크리트구조
102519040,1171010400100940024,서울특별시 송파구 송파동 94-24번지,서울특별시 송파구 백제고분로42길 40 (송파동),지상,1,1,91.8,03001,소매점,점포,근린생활1,철근콘크리트구조
10251100480503,1171010400100940025,서울특별시 송파구 송파동 94-25번지,서울특별시 송파구 백제고분로42길 38 (송파동),지상,1,1층,28.2,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025117116,1171010400100940026,서울특별시 송파구 송파동 94-26번지,서울특별시 송파구 백제고분로42길 36 (송파동),지하,1,지1,123.78,03029,제과점,제1종근린생활시설(제과점),근린생활1,철근콘크리트구조
1025117116,1171010400100940026,서울특별시 송파구 송파동 94-26번지,서울특별시 송파구 백제고분로42길 36 (송파동),지상,1,1,64.26,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025117116,1171010400100940026,서울특별시 송파구 송파동 94-26번지,서울특별시 송파구 백제고분로42길 36 (송파동),지상,1,1,21.6,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
10251100480423,1171010400100940027,서울특별시 송파구 송파동 94-27번지,서울특별시 송파구 백제고분로42길 34 (송파동),지상,1,1층,45.78,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1025123916,1171010400100940028,서울특별시 송파구 송파동 94-28번지,서울특별시 송파구 백제고분로42길 32-1 (송파동),지하,1,지1,155.8,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025123916,1171010400100940028,서울특별시 송파구 송파동 94-28번지,서울특별시 송파구 백제고분로42길 32-1 (송파동),지상,1,1,96.86,03001,소매점,근린생활시설(소매점),근린생활1,철근콘크리트구조
1025123916,1171010400100940028,서울특별시 송파구 송파동 94-28번지,서울특별시 송파구 백제고분로42길 32-1 (송파동),지상,1,1,22.77,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1025123916,1171010400100940028,서울특별시 송파구 송파동 94-28번지,서울특별시 송파구 백제고분로42길 32-1 (송파동),지상,2,2,119.63,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
10251100467682,1171010400100940030,서울특별시 송파구 송파동 94-30번지,서울특별시 송파구 가락로21길 4-22 (송파동),지상,1,1층,53.25,04402,사무소,사무소,근린생활2,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,1,1층,198.19,04001,일반음식점,대중음식점,근린생활2,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,1,1층,97.04,03001,소매점,다과점,근린생활1,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,1,1층,121.41,03001,소매점,소매점,근린생활1,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,1,1층,85.0,03001,소매점,소매점,근린생활1,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,3,3층,510.25,14204,사무소,업무시설(사무소),업무시설,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,4,4층,510.25,14204,사무소,업무시설(사무소),업무시설,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,5,5층,510.25,14204,사무소,업무시설(사무소),업무시설,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,6,6층,510.25,14204,사무소,업무시설(사무소),업무시설,철근콘크리트구조
1025123998,1171010400100940035,서울특별시 송파구 송파동 94-35번지,서울특별시 송파구 가락로 151 (송파동),지상,7,7층,239.59,14204,사무소,업무시설(사무소),업무시설,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,1,1층,26.6,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,3,3층,149.83,04035,고시원,제2종근린생활시설(고시원),근린생활2,벽돌구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지하,1,지1,178.35,04201,교회,교회,근린생활2,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,1,1층,63.36,04001,일반음식점,일반음식점,근린생활2,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,5,5층,67.6,04999,기타제2종근린생활시설,관리사무소,근린생활2,벽돌구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,1,1층,28.51,03001,소매점,소매점,근린생활1,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,1,1층,31.36,04403,부동산중개업소,제2종근린생활시설(부동산중개업소),근린생활2,철근콘크리트구조
1025122910,1171010400100950000,서울특별시 송파구 송파동 95번지,서울특별시 송파구 송파대로40길 6 (송파동),지상,2,2층,149.83,04035,고시원,제2종근린생활시설(고시원),근린생활2,철근콘크리트구조
1025116115,1171010400100950001,서울특별시 송파구 송파동 95-1번지,서울특별시 송파구 송파대로40길 8 (송파동),지상,1,1층,37.24,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1025116115,1171010400100950001,서울특별시 송파구 송파동 95-1번지,서울특별시 송파구 송파대로40길 8 (송파동),지상,1,1층,31.48,04403,부동산중개업소,제2종근린생활시설(부동산중개업소),근린생활2,철근콘크리트구조
1025116115,1171010400100950001,서울특별시 송파구 송파동 95-1번지,서울특별시 송파구 송파대로40길 8 (송파동),지상,2,2층,80.64,03027,미용원,제1종근린생활시설(미용원),근린생활1,철근콘크리트구조
1025116115,1171010400100950001,서울특별시 송파구 송파동 95-1번지,서울특별시 송파구 송파대로40길 8 (송파동),지상,3,3층,80.64,04010,학원,학원,근린생활2,철근콘크리트구조
102512160,1171010400100950006,서울특별시 송파구 송파동 95-6번지,서울특별시 송파구 가락로19길 11 (송파동),지상,1,1,77.69,04402,사무소,사무소,근린생활2,일반목구조
102512160,1171010400100950006,서울특별시 송파구 송파동 95-6번지,서울특별시 송파구 가락로19길 11 (송파동),지상,1,1,9.92,04999,기타제2종근린생활시설,창고,근린생활2,일반목구조
102512161,1171010400100950006,서울특별시 송파구 송파동 95-6번지,서울특별시 송파구 가락로19길 11 (송파동),지상,1,1,56.73,04402,사무소,사무실,근린생활2,철근콘크리트구조
10251100515561,1171010400100950014,서울특별시 송파구 송파동 95-14번지,서울특별시 송파구 가락로19길 9-12 (송파동),지상,1,1층,36.86,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100522582,1171010400100950015,서울특별시 송파구 송파동 95-15번지,서울특별시 송파구 가락로19길 17 (송파동),지상,1,1층,20.44,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지하,1,지1,41.84,03199,기타공공시설,휴게실,근린생활1,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지하,1,지1,32.17,03199,기타공공시설,기계실,근린생활1,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지상,1,1,24.54,03199,기타공공시설,도서열람실,근린생활1,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지상,1,1,49.47,04402,사무소,사무실,근린생활2,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지상,2,2,75.96,04014,독서실,독서실,근린생활2,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),지상,3,3,75.96,04014,독서실,독서실,근린생활2,철근콘크리트구조
1025115712,1171010400100950018,서울특별시 송파구 송파동 95-18번지,서울특별시 송파구 가락로19길 11 (송파동),옥탑,1,옥1,9.12,03199,기타공공시설,연면적제외,근린생활1,철근콘크리트구조
