TRDAR_CD,TRDAR_CD_N,SIGNGU_NM,ADSTRD_NM,R_ONE_상권,상가유형,기준_년분기_코드,임대료_천원㎡,임대가격지수,공실률,매칭상권_임대료표본수,매칭상권_공실률표본수,임대료_표본부족,공실률_표본부족,임대료_분위_매칭상권내,공실률_분위_매칭상권내,mapping_method,mapping_confidence,join_eligible,grain_is_proxy
3120173,교대역(법원.검찰청),서초구,서초1동,교대역,소규모상가,20241,,99.45,,0,0,True,True,,,explicit_alias,high,True,True
3120175,남부터미널역,서초구,서초1동,남부터미널,소규모상가,20241,,99.57,,0,0,True,True,,,explicit_alias,high,True,True
3120178,신사역,서초구,잠원동,신사역,소규모상가,20241,,99.3,,0,0,True,True,,,exact_name,high,True,True
3120185,논현역,강남구,논현1동,논현역,소규모상가,20241,,99.42,,0,0,True,True,,,exact_name,high,True,True
3120208,청담사거리(청담동명품거리),강남구,청담동,청담,소규모상가,20241,,99.79,,0,0,True,True,,,explicit_alias,high,True,True
3120225,잠실새내역(신천),송파구,잠실본동,잠실새내역,소규모상가,20241,,99.73,,0,0,True,True,,,explicit_alias,high,True,True
3120231,가락시장,송파구,가락1동,가락시장,소규모상가,20241,,100.09,,0,0,True,True,,,exact_name,high,True,True
3120243,천호역,강동구,천호2동,천호,소규모상가,20241,,100.08,,0,0,True,True,,,explicit_alias,high,True,True
3130024,남대문시장(자유상가),중구,회현동,남대문,소규모상가,20241,,97.59,,0,0,True,True,,,explicit_alias,high,True,True
3110431,상계역,노원구,중계4동,상계역,소규모상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120002,서촌(경복궁역),종로구,사직동,서촌,소규모상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120003,광화문역,종로구,사직동,광화문,소규모상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120007,북촌(안국역),종로구,가회동,북촌,소규모상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,소규모상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
